id,emp_id,supervisor_id,evaluation_no,evaluation_date,period_start,period_end,score_work_quality,score_work_quantity,score_dedication,score_knowledge,score_learning,score_obedience,score_responsibility,score_creativity,score_teamwork,score_discipline,score_tool_maintenance,score_participation,score_late,score_sick_leave,score_personal_leave,count_late,count_sick_leave,count_personal_leave,count_activity,total_score,grade,comment_supervisor,comment_improvement,comment_praise,decision,salary_adjust_from,salary_adjust_to,status,hr_remark,is_sent_to_management,created_at,updated_at
1,TG69004,,1,,3/2/2026,4/3/2026,3,3,3,4,4,5,4,4,5,4,5,5,1,5,5,11,0,0,0,239,D,ต้องแอ็คทีฟมากกว่านี้,,เรียนรู้ได้เร็ว,pass,0,0,reviewed,,FALSE,2026-03-23 17:00:00.793+00,2026-03-23 17:00:00.793+01
2,TE69001,,1,,9/1/2026,8/2/2026,3,3,4,3,3,4,3,3,4,4,4,3,5,5,5,0,0,0,0,195,E,สตอก จะต้องสอนให้ดี เชคให้ตรงเวลาเบิกว่าเราจะช่วยทำงานในส่วนนี้ให้ดีขึ้นได้ยังไงเหมือนที่เรานำเสนอ ต้องมีสติ ควบคุมอารมณืให้มากกว่านี้ ต้องฉลาดทางอารมณ์ด้วยถอยมามองในส่วนงานของตัวเองให้มาก บทบาทหน้าที่หลักของเราคืออะไร งานรองคืออะไร 1 เรา ทำอะไร ถ้ามีแค่งานเบิก เบิก การรายงาน งานให้ทราบ งานดำเนินการอยู่ งานค้างต้องอัพเดทงานให้ทราบเสม่ำเสมอ,,,pass,0,0,reviewed,,FALSE,2026-03-23 17:00:00.793+00,2026-03-23 17:00:00.793+01
3,TE69001,,2,,9/12/2026,10/3/2026,4,3,5,4,4,4,4,4,4,4,4,3,5,4,5,0,1,0,0,242,C,มีการเรียนรู้งานเพิ่มมากขึ้น ใส่ใจงานมากขึ้น ฝากเรื่องของการบริหารจัดการงาน เรียงลำดับความสำคัญของงานที่มี,,,pass,0,0,reviewed,,FALSE,2026-03-23 17:00:00.793+00,2026-03-23 17:00:00.793+01
4,TE69006,,1,,18/2/2026,20/3/2026,4,4,4,4,4,5,5,4,4,5,5,4,5,5,5,0,0,0,0,261,B,ติดตามงานได้ดี ฝากเรื่องการติดต่อประสานงานหน้างานต่าง การวางแผนการจัดการงานโครงการ,,,pass,0,0,reviewed,,FALSE,2026-03-24 17:00:00.793+00,2026-03-24 17:00:00.793+01
5,TG69001,,2,,18/2/2026,13/3/2026,3,3,4,3,4,5,4,5,5,4,5,5,4,5,4,1,0,1,0,250,C,,ต้องศึกษาสินค้าให้มีความรู้มากกว่านี้,มีความพยายามที่จะขายสินค้าสูง,pass,0,0,reviewed,,FALSE,2026-03-23 17:00:00.793+00,2026-03-23 17:00:00.793+01
6,TE69002,,1,,13/1/2026,12/2/2026,4,4,4,4,3,4,4,4,4,5,5,5,3,4,4,3,1,1,0,245,C,,,,pass,0,0,reviewed,,FALSE,,
7,TE69002,,2,,15/3/2026,12/4/2026,4,4,4,4,4,4,4,4,4,5,5,5,1,4,4,11,1,1,0,248,C,เปลี่ยนแปลงการทำงานวิธีการทำงานที่ดีขึ้นใช้เทคโนโลยีช่วยให้งานเร็ว และมีความถูกต้อง ดูแลงานโปรเจคให้ได้ปริมาณงานที่เพิ่มมากขึ้น ทำได้หลายงานพร้อมกัน ,,,pass,0,0,reviewed,,FALSE,,
8,TE69002,,3,,15/3/2026,12/4/2026,3,3,3,5,3,4,4,4,5,4,5,5,1,4,4,11,1,1,0,233,D,เปลี่ยนแปลงการทำงานวิธีการทำงานที่ดีขึ้นใช้เทคโนโลยีช่วยให้งานเร็ว และมีความถูกต้อง ดูแลงานโปรเจคให้ได้ปริมาณงานที่เพิ่มมากขึ้น ทำได้หลายงานพร้อมกัน ,,,,0,0,reviewed,,FALSE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Production : การติดต่อประสานงานล่าช้า ท่าให้งานช้า เช่น ไปหน้างานผู้รับเหมาขอของมา เอานั่นนี่เพิ่มหน่อย เวลาผ่านไปกลับมาถึงออฟฟิต เรื่องก็หายไป พอไปหน้างานอีกก็ไม่ได้เอาของไปให้เขา งานก็ข้าไปอีกเสียน้ำมันเสียเวลา >>วีธีแก้ พิมพ์ทิ้งไว้ให้คนอื่นๆรับทราบเช่นแอดมันรับทราบ เค้าจะได้รับรู้แล้วละช่วย ความล่าช้างานการถอดของเข้าหน้างาน ทำให้เข้างานล่าช้า การตอบกลับล่าช้า ทำให้การต่องานล่าช้า การติดปัญหาการใช้คอมพิวเตอร์ ไม่แจ้งผู้ที่ดำเนินการเรื่องอยู่ทราบ ไม่รู้ปล่อยให้เป็นปัญหานานแค่ไหนแล้ว พึ่งแก้การคุมงานผู้รับเหงา ควรเคีลยร์สเป็คผู้รับเหงาเองและประสานเซลล์คุยลูกค้าต่อ หรือคุยกับลูกค้าเอง เพราะการติดต่อหรือเพิ่มใดๆ นอกเหนือใบเสนอราคามีค่าใช้จ่าย ควนถอดของและมองถาพรวมของงานให้ละเอียดเพราะการวิ่งไปหน้างานเเล้วลืมของ เสีบทั้งเวลาและค่าน้ำมันโดยไม่จำเป็น การรายงานปัญหาควรรายงานลงในไลน์กลุ่มโดยละเอียดเพื่อให้ทุกคนรับทราบและเสนอวิธีแก้ปัญหาร่วมกันเพราะคืองานบริษัท ความติดตามสินค้าที่สั่งซื้อไปทั้งหมดและตรวจสอบสเป็คด้วยตนเอง และควรรับรู้เรื่องราวทุกอย่างในโปรเจคนั้นๆ แผนเงิน แผนงาน แผนคน ในถานะที่เป็น Project Engineer ควรทำงานให้ได้หลากหลายมากขึ้น ทั้งสำรวจ ถอดของ ทำ BOQ ให้ราคาปัจจุบัน และต้องมีความรวดเร็วและต้องจัดการให้ดีมากกว่าๆกว่านี้ การสั่งซื้อควรติดตามว่าที่ PR ยังไม่ออกเพราะอะไร ติดอะไร ที่ OP ยังไม่ออกติดอะไรเพราะอะไรห้ามใช้คำว่าผมลืม อีกเด็กขาด ขอให้มันไม่เกิดขึ้นอีกค่ะ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,วิศวกรรม : อยากให้ปรับการทำงานให้ละเอียดมากขึ้น การถอดอุปกรณ์ ควรตรวจสอบให้เรียบร้อยเพราะยังมีผิดพลาดและ การคุยโทรศัพท์ควรงดโทรเรื่องส่วนตัวในเวลางานและ ให้ศึกษาข้อมูลสินค้าของบอให้มากขึ้น เพื่อทำความเข้าในใจการทำราคา,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ขาย :1.การเข้าหน้างานติดตั้ง ไม่มีแบบ shop drawing ทำให้การดำเนินการติดตั้งตั้งล่าช้า ไม่ตรงกับที่ตกลงไว้ มีการแก้ไขหน้างานหลายครั้ง ไม่มีสามารถแจ้งให้ช่างแก้ไขเพราะไม่มีแบบไปยันกับช่าง,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.เนื่องด้วยไม่มีแบบติดตั้งทำให้การสั่งของ (PR,เบิกของ) ขาดไม่ครบ ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.หน้างานไม่มีการเก็บความเรียบร้อย เช่น เจาะรู้แล้วไม่อุด ไม่มีการทำความสะอาดหน้างานติดตั้ง,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.ดำเนินการสั่งของล่าช้า ทำให้เข้าหน้างามติดตั้งช้ากว่ากำหนด/ของมาไม่ทัน ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5. การแจ้ง/บอก เรื่องหน้างานมีปัญหาไม่ได้แจ้งกลับมาทำให้การทำไม่จบ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.การนัดหมาย เข้าส่งมอบ/แก้ไขหน้างาน ไม่ได้แจ้งกลับมาทางเซลล์ เพื่อนัดหมายลูกค้า เช่น หน้างานระยอง(ลูกค้าพักที่สำโรง) จะส่งมอบวันจันทร์ แต่ไม่แจ้งให้นัดลูกค้า + หน้างานมีปัญหาขัดข้อง ไม่แก้ให้จบก่อนนัดส่งมอบ *งานไม่เรียบร้อย ช้า ของขาด และไม่ดูแลความสะอาดของหน้างาน *รูปแบบการติดตั้งไม่คำนึกถึงลักษณะความสวยงามในการติดตั้ง,,,,,,,,,,
